" (%sMb limit)"," (%sMb limit)"
" Back to My Support Tickets","Back to My Support Tickets"
" Disable standard contact form emails"," Disable standard contact form emails"
"",""
"%s <%s>","%s <%s>"
"%s","%s"
"* Required Fields","* Required Fields"
"--- No template ---","--- No template ---"
"--- Select an order ---","--- Select an order ---"
"110 for POP3, 995 for POP3-SSL, 143 for IMAP-TLS and 993 for IMAP-SSL by default","110 for POP3, 995 for POP3-SSL, 143 for IMAP-TLS and 993 for IMAP-SSL by default"
"ASAP","ASAP"
"AW Help Desk Ultimate Admin New Ticket","AW Help Desk Ultimate Admin New Ticket"
"AW Help Desk Ultimate Admin Ticket Reply","AW Help Desk Ultimate Admin Ticket Reply"
"AW Help Desk Ultimate Customer New ticket","AW Help Desk Ultimate Customer New ticket"
"AW Help Desk Ultimate Customer New ticket(initialized by admin)","AW Help Desk Ultimate Customer New ticket(initialized by admin)"
"AW Help Desk Ultimate Customer Ticket Reply","AW Help Desk Ultimate Customer Ticket Reply"
"AW Help Desk Ultimate Ticket Reassignation","AW Help Desk Ultimate Ticket Reassignation"
"Action","Action"
"Actions","Actions"
"Active","Active"
"Add Order Comments","Add Order Comments"
"Additional Information","Additional Information"
"Admin Permissions","Admin Permissions"
"Advanced Options","Advanced Options"
"All","All"
"Allow external view for tickets","Allow external view for tickets"
"Allowed Roles","Allowed Roles"
"Allows customers to link tickets to orders","Allows customers to link tickets to orders"
"Allows customers to view tickets without being logged in","Allows customers to view tickets without being logged in"
"An email address for Help Desk to fetch messages from. This address must NOT be used by any other person or system!","An email address for Help Desk to fetch messages from. This address must NOT be used by any other person or system!"
"Antispam protection failed","Antispam protection failed"
"Are you sure you want do this?","Are you sure you want do this?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Assign order","Assign order"
"Assign to customer","Assign to customer"
"Assign to department","Assign to department"
"Assign to order #","Assign to order #"
"Assign","Assign"
"Assigned to customer","Assigned to customer"
"Assigned to order","Assigned to order"
"Attachment","Attachment"
"Attachments","Attachments"
"Auto assign departments on email reply","Auto assign departments on email reply"
"Back to My Support Tickets","Back to My Support Tickets"
"Back","Back"
"Body","Body"
"CSV","CSV"
"Cancel","Cancel"
"Change status","Change status"
"Click to close quotation","Click to close quotation"
"Click to open quotation","Click to open quotation"
"Closed","Closed"
"Comment","Comment"
"Contact Form","Contact Form"
"Contact Information","Contact Information"
"Contact Us","Contact Us"
"Contact form %s <%s>","Contact form %s <%s>"
"Content can't be empty","Content can't be empty"
"Content","Content"
"Couldn't load pattern entry by given ID","Couldn't load pattern entry by given ID"
"Couldn't load ticket by given ID","Couldn't load ticket by given ID"
"Create New Ticket","Create New Ticket"
"Create new ticket","Create new ticket"
"Create new tickets from email","Create new tickets from email"
"Create ticket for this customer","Create ticket for this customer"
"Create ticket from this order","Create ticket from this order"
"Create ticket","Create ticket"
"Created","Created"
"Custom ticket statuses","Custom ticket statuses"
"Customer Tickets","Customer Tickets"
"Customer tickets history","Customer tickets history"
"Customer","Customer"
"Date","Date"
"Dedicated help desk email. Do not use this address for anything except this extension.","Dedicated help desk email. Do not use this address for anything except this extension."
"Default admin ticket status","Default admin ticket status"
"Delete Emails From Host","Delete Emails From Host"
"Delete","Delete"
"Department Details","Department Details"
"Department does not exist","Department does not exist"
"Department was successfully deleted","Department was successfully deleted"
"Department was successfully saved","Department was successfully saved"
"Department","Department"
"Department/Customer","Department/Customer"
"Departments Statistics","Departments Statistics"
"Departments statistics","Departments statistics"
"Departmnet Reassign Template","Departmnet Reassign Template"
"Disable standard contact form emails","Disable standard contact form emails"
"Edit Department ""%s""","Edit Department ""%s"""
"Edit Email Gateway ""%s""","Edit Email Gateway ""%s"""
"Edit Quick Response "%s"","Edit Quick Response "%s""
"Edit","Edit"
"Email Gateway details","Email Gateway details"
"Email Rejecting","Email Rejecting"
"Email address","Email address"
"Email has been deleted from rejected emails list","Email has been deleted from rejected emails list"
"Email has been marked as unprocessed","Email has been marked as unprocessed"
"Email Settings","Email Settings"
"Email templates","Email templates"
"Email","Email"
"Emails to department will be sent to this address","Emails to department will be sent to this address"
"Enable linking tickets to orders","Enable linking tickets to orders"
"Enabled","Enabled"
"Enter 0 or leave the field empty if auto-expiration is not required","Enter 0 or leave the field empty if auto-expiration is not required"
"Enter comma-separated values","Enter comma-separated values"
"Enter digits <b>%s</b>","Enter digits <b>%s</b>"
"Excel","Excel"
"External URL","External URL"
"Failed","Failed"
"File","File"
"Find customer","Find customer"
"From","From"
"Gateway Email","Gateway Email"
"Gateway Host","Gateway Host"
"Gateway does not exist","Gateway does not exist"
"Gateway was successfully deleted","Gateway was successfully deleted"
"Gateway was successfully saved","Gateway was successfully saved"
"General","General"
"General Department","General Department"
"General Information","General Information"
"Grid Columns Options","Grid Columns Options"
"Handle file uploads","Handle file uploads"
"Headers","Headers"
"Help Desk - Departments","Help Desk - Departments"
"Help Desk - Gateways","Help Desk - Gateways"
"Help Desk - Quick responses","Help Desk - Quick responses"
"Help Desk - Tickets","Help Desk - Tickets"
"Help Desk","Help Desk"
"Hidden for Customer","Hidden for Customer"
"ID","ID"
"IMAP","IMAP"
"If No is selected, customers won't be able to choose the department when submitting a ticket. In that case, ticket will be sent to primary department (if specified).","If No is selected, customers won't be able to choose the department when submitting a ticket. In that case, ticket will be sent to primary department (if specified)."
"If Yes is selected, the standard contact form email won't be sent (use in alliance with ""Yes"" set in the field above)","If Yes is selected, the standard contact form email won't be sent (use in alliance with ""Yes"" set in the field above)"
"If Yes, a ticket would be created when sending a message through the contact form","If Yes, a ticket would be created when sending a message through the contact form"
"If filled in, copies of the all messages from Helpdesk will be sent to this email","If filled in, copies of the all messages from Helpdesk will be sent to this email"
"If none gateway is selected, all of them will be checked","If a gateway is not selected, all of them will be checked"
"If time","If time"
"If you don't have the Product Questions installed, you can purchase it <a href='http://ecommerce.aheadworks.com/extensions/product-questions.html'>here</a>","If you don't have the Product Questions installed, you can purchase it <a href='http://ecommerce.aheadworks.com/extensions/product-questions.html'>here</a>"
"Image","Image"
"Images","Images"
"Incorrect operation","Incorrect operation"
"Invalid order number","Invalid order number"
"Item was successfully deleted","Item was successfully deleted"
"Items Manager","Items Manager"
"Last Customer Reply enabled","Last Customer Reply enabled"
"Last Department Reply enabled","Last Department Reply enabled"
"Last customer reply","Last customer reply"
"Last department reply","Last department reply"
"Last reply","Last reply"
"Lock","Lock"
"Locked (Yes/No)","Locked (Yes/No)"
"Locked","Locked"
"Login","Login"
"Manage Patterns","Manage Patterns"
"Manage departments","Manage departments"
"Manage email gateways","Manage email gateways"
"Mark as unprocessed","Mark as unprocessed"
"Max Upload File Size (Mb)","Max Upload File Size (Mb)"
"Message has been successfully removed","Message has been successfully removed"
"Message","Message"
"Modules integration","Modules integration"
"My Orders","My Orders"
"My Support Tickets","My Support Tickets"
"N/A","N/A"
"NONE","NONE"
"Name can't be empty","Name can't be empty"
"Name will be used at customer area","Name will be used at customer area"
"Name","Name"
"New Department","New Department"
"New Email Gateway","New Email Gateway"
"New Quick Response","New Quick Response"
"New Status","New Status"
"New Ticket Admin Template","New Ticket Admin Template"
"New Ticket Customer Template","New Ticket Customer Template"
"New Ticket Customer Template(initiated by admin)","New Ticket Customer Template(initiated by admin)"
"New ticket has been created by support, notification for customer","New ticket has been created by support, notification for customer"
"New ticket, notification for customer","New ticket, notification for customer"
"New ticket, notification for support","New ticket, notification for support"
"No Subject","No Subject"
"No replies","No replies"
"No status change history","No status change history"
"No","No"
"None","None"
"Not Notified","Not Notified"
"Note","Note"
"Note: Order does not exist","Note: Order does not exist"
"Note: Selected order does not belong to current customer","Note: Selected order does not belong to current customer"
"Notes","Notes"
"Notified","Notified"
"Notify Customer","Notify Customer"
"Open","Open"
"Order #","Order #"
