"AskIt","AskIt"
"Ask a question (%d)","Ask a question (%d)"
"Ask a question","Ask a question"
"There is no product questions yet.","There is no product questions yet."
"Ask a question and Give an answer. Help your fellow customer.","Ask a question and Give an answer. Help your fellow customer."
"Products Questions","Products Questions"
"Be the first to ask a question about this product","Be the first to ask a question about this product"
"Edit Answer '%s","Edit Answer '%s"
"Edit Item '%s","Edit Item '%s"
"Action","Action"
"Add Answers","Add Answers"
"Add Item","Add Item"
"Leave a Reply","Leave a Reply"
"Have a question?","Have a question?"
"Answer","Answer"
"Answers","Answers"
"Approved","Approved"
"Approwed","Approwed"
"Are you sure?","Are you sure?"
"Ask Information","Ask Information"
"CSV","CSV"
"Change status","Change status"
"Close","Close"
"Closed","Closed"
"Private","Private"
"Public","Public"
"Answer information","Answer information"
"Count Answers","Count Answers"
"Create date","Create date"
"Customer","Customer"
"Add New Answer","Add New Answer"
"Delete Item","Delete Item"
"Delete","Delete"
"Disapproved","Disapproved"
"Disapprowed","Disapprowed"
"Edit","Edit"
"Email","Email"
"General","General"
"Go to Product","Go to Product"
"Go to Question","Go to Question"
"Add New Question","Add New Question"
"Save Question","Save Question"
"Delete Question","Delete Question"
"Hint","Hint"
"ID","ID"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item information","Item information"
"Item was successfully saved","Item was successfully saved"
"Not Answerred","Not Answerred"
"Parent Id","Parent Id"
"Pending","Pending"
"Please select item(s)","Please select item(s)"
"Products Questions:","Products Questions:"
"Product Id","Product Id"
"Product Name","Product Name"
"Askit Products Questions" , "Askit Products Questions"
"Query","Query"
"Question Manager","Question Manager"
"Question","Question"
"Questions Manager","Questions Manager"
"Save Item","Save Item"
"Sorry, already voted","Sorry, already voted"
"Sorry, only logined customer can add self answer.","Sorry, only logined customer can add self answer."
"Sorry, only logined customer can hint.","Sorry, only logined customer can hint."
"Status","Status"
"Store View","Store View"
"Text","Text"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Unable to find item to save","Unable to find item to save"
"Update date","Update date"
"XML","XML"
"Your question has been accepted for moderation","Your question has been accepted for moderation"
"Enable AskIt","Enable AskIt"
"Default question status","Default question status"
"Default comment status","Default comment status"
"Allow guest to ask questions","Allow guest to ask questions"
"Allow customers comment","Allow customers comment"
"Allow vote","Allow vote"
"Share customer name on frontend","Share customer name on frontend"
"Show product question as block on product page","Show product question as block on product page"
"Count question show on product page","Count question show on product page"
"Email","Email"
"Enable customer notification","Enable customer notification"
"Enable admin notification","Enable admin notification"
"Send admin notification to","Send admin notification to"
"Email Sender","Email Sender"
"Email template (admin notification)","Email template (admin notification)"
"Email template (customer notification)","Email template (customer notification)"
"Number of question to show on product page","Number of question to show on product page"
"Show product question on product page","Show product question on product page"
"Show customer name on frontend","Show customer name on frontend"
"Allow customer vote","Allow customer vote"
"Enable RSS Feed","Enable RSS Feed"
"Rss Feed Title","Rss Feed Title"
"Posted by","Posted by"
"Email and Name required","Email and Name required"
"Your must login","Your must login"
"Sorry, but we think you\'re a spammer.","Sorry, but we think you\'re a spammer."
"Do you have same question?","Do you have same question?"
" people had same question."," people had same question."
"Answers:","Answers:"
"Was this Answer Helpful?","Was this Answer Helpful?"
" people found this answer helpfull."," people found this answer helpfull."
"View all question related to this product","View all question related to this product"
"Return back to the product page","Return back to the product page"
"Can you answer these question?","Can you answer these question?"
"Name","Name"
"Ask Your Question","Ask Your Question"
"Post a private question","Post a private question"
"* Required Fields","* Required Fields"
