Forum,Forum
Simple Forum Configuration, Simple Forum Configuration
Forum Title, Forum Title
Show Search block, Show Search block
Show Jump To block, Show Jump To block
Show Bookmark block, Show Bookmark block
Show Fast Reply button, Show Fast Reply button
Allow users delete own Topics, Allow users delete own Topics
Displayed on front end, Displayed on front end
Forum Manager, Forum Manager
Add Forum, Add Forum
Relative to Website Base URL/forum, Relative to Website Base URL/forum
URL Key, URL Key
Forum Details, Forum Details
Save Forum, Save Forum
Delete Forum, Delete Forum
Edit Forum '%s', Edit Forum '%s'
Forum was successfully saved, Forum was successfully saved
Forum URL Key for specified forum already exist in store., Forum URL Key for specified forum already exist in store.
Forum does not exist, Forum does not exist
Forum was successfully deleted.<br>All Forum Topics were successfully deleted!<br>All Topics Posts were successfully deleted!, Forum was successfully deleted.<br>All Forum Topics were successfully deleted!<br>All Topics Posts were successfully deleted!
All Forums were successfully deleted.<br>All Forums Topics were successfully deleted!<br>All Topics Posts were successfully deleted!, All Forums were successfully deleted.<br>All Forums Topics were successfully deleted!<br>All Topics Posts were successfully deleted!
Forum Name, Forum Name
Creation Time, Creation Time
Updated Time, Updated Time
All Forums statuses were successfully changed., All Forums statuses were successfully changed.
Topic Manager, Topic Manager
Add Topic, Add Topic
Topic, Topic
Parent Forum, Parent Forum
Topic Details, Topic Details
No Parent Forum, No Parent Forum
Save Topic, Save Topic
Topic was successfully saved, Topic was successfully saved
Delete Topic, Delete Topic
Topics was successfully deleted!<br>All Topics posts were successfully deleted!, Topics was successfully deleted!<br>All Topics posts were successfully deleted!
All Topics were successfully deleted!<br>All Topics Posts were successfully deleted!, All Topics were successfully deleted!<br>All Topics Posts were successfully deleted!
All Topics statuses were successfully changed., All Topics statuses were successfully changed.
Edit Topic '%s', Edit Topic '%s'
Topic Name, Topic Name
Topic does not exist, Topic does not exist
Manage Posts, Manage Posts
Post Manager, Post Manager
Add Post, Add Post
Delete Post, Delete Post
Save Post, Save Post
Post Content, Post Content
Post Details, Post Details
Item Post, Item Post
Post does not exist, Post does not exist
Post was successfully saved, Post was successfully saved
Post was successfully deleted, Post was successfully deleted
All Posts were successfully deleted!, All Posts were successfully deleted!
All Posts statuses were successfully changed., All Posts statuses were successfully changed.
Post, Post
Edit Post ID: '%s', Edit Post ID: '%s'
Manage Moderators, Manage Moderators
Moderators, Moderators
Moderator Manager, Moderator Manager
Create from Customer, Create from Customer
Create Forum Moderators from Customers, Create Forum Moderators from Customers
Assign To Moderator, Assign To Moderator
%s customers assign to moderators, %s customers assign to moderators
%s moderators are deleted, %s moderators are deleted
Moderate Forum Settings, Moderate Forum Settings
Moderate Topics, Moderate Topics
Moderate Posts, Moderate Posts
Forum Main Settings, Forum Main Settings
Forum Configuration, Forum Configuration
RE-CAPTCHA settings, RE-CAPTCHA settings
Use RE-CAPTCHA, Use RE-CAPTCHA
You can get it here https://www.google.com/recaptcha/. eg.6LdQ27sSAAAAANTMon0b0hNZtdd-piGtX26hpkxp, You can get it here https://www.google.com/recaptcha/. eg.6LdQ27sSAAAAANTMon0b0hNZtdd-piGtX26hpkxp
RE-CAPTCHA Public Key API key, RE-CAPTCHA Public Key API key
RE-CAPTCHA Private Key API key, RE-CAPTCHA Private Key API key
Spam Protect, Spam Protect
Forum Notification Settings, Forum Notification Settings
Notify Moderator About New Post; Topic, Notify Moderator About New Post; Topic
Notify Moderator Email, Notify Moderator Email
Email Sender, Email Sender
Allow Notify Customers Via Email, Allow Notify Customers Via Email
Showed checkbox on Form Add Edit Post Topic, Showed checkbox on Form Add Edit Post Topic
Email Template Moderator Notification, Email Template Moderator Notification
Email Template Notify Customer, Email Template Notify Customer
New Post Notify, New Post Notify
New Post or Topic, New Post or Topic
New Post on Forum, New Post on Forum
New Topic on Forum, New Topic on Forum
Forum Moderator Notification, Forum Moderator Notification
Subscription Notification, Subscription Notification
Allow RSS Feeds, Allow RSS Feeds
Sitemap Settings, Sitemap Settings
Site Map File Name, Site Map File Name
Should be diferent to main sitemap with products and CMS pages, Should be diferent to main sitemap with products and CMS pages
Path to Site Map File, Path to Site Map File
Allow system Create Sitemap Files, Allow system Create Sitemap Files
Should exists in project root, Should exists in project root; Relative to project root path
Allow users use Nicknames, Allow users use Nicknames
Show own Breadcrumbs, Show Forum Breadcrumbs
Design settings, Design Settings
Page Layout, Page Layout
Show Top Banner, Show Top Banner
Top Banner image src, Top Banner image src
Top Banner Link, Top Banner Link
Top Banner Link Open in new Window, Top Banner Link Open in new Window
Forum Meta Data, Forum Meta Data
Meta Keywords, Meta Keywords
Meta Description, Meta Description
Sort Forums by Priority, Sort Forums by Priority
Priority, Priority
Default Shows Newest Topics, Default Shows Newest Topics
Default Shows Newest Posts, Default Shows Newest Posts

Forum index, Forum index
View All Forums, Viewing All Forums
bookmarked items, bookmarked items
Total Topics, Total Topics
Total Posts, Total Posts
Latest Reply, Latest Reply
Total Forums, Total Forums
Jump To, Jump To
SEARCH, SEARCH
Search Forum, Search Forum
Statistic, Statistic
Total Active Members, Total Active Members
Created, Created
Created By, Created By
Who is online, Who is online
Posted, Posted
In total there is <b>%s</b> user online :: <b>%s</b> logged customers and <b>%s</b> guest (based on users active over the past 5 minutes), In total there is <b>%s</b> user online :: <b>%s</b> logged customers and <b>%s</b> guest (based on users active over the past 5 minutes)
You have to be logged in order to Create Topics!, You have to be logged in order to Create Topics!
Log In, Log In
View Forum, Viewing Forum
Sort, Sort
Newest,Newest
Oldest,Oldest
Topic Title, Topic Title
Views, Views
Users browsing this forum <b>%s</b> logged customers:: <b>%s</b> and guest <b>%s</b> (based on users active over the past 5 minutes), Users browsing this forum <b>%s</b> logged customers:: <b>%s</b> and guest <b>%s</b> (based on users active over the past 5 minutes)
View Topic, Viewing Topic
Search Topic, Search Topic
Bookmark Topic, Bookmark Topic
You have to be logged in order to create Topics and add Posts!, You have to be logged in order to create Topics and add Posts!
My Bookmarks, My Bookmarks

Manage, Manage
