"Add to cart","In winkelwagen"
"AJAX activity indicator","AJAX activity indicator"
"Ajax Cart Pro","Ajax Cart Pro"
"Cancel","Annuleer"
"Cannot add item to shopping cart","Kan niet toevoegen aan winkelwagen"
"Cart animation","Cart animation"
"Choose an Option...","Maak een keuze..."
"Confirmation dialog will be closed after, sec (set 0 to disable)","Bevestigingsvenster sluit na, sec.(zet op 0 om uit te schakelen)"
"Continue shopping","Verder winkelen"
"Dialogs align","Dialogs plaats"
"General","Algemeen"
"Item(s)","Item(s)"
"My Cart","Mijn winkelwagen"
"My Cart (%s item)","Mijn winkelwagen (%s item)"
"My Cart (%s items)","Mijn winkelwagen (%s items)"
"My Cart <span>(%s)</span>","Mijn winkelwagen <span>(%s)</span>"
"My Wishlist","Mijn wenslijst"
"My Wishlist (%s item)","Mijn wenslijst (%s item)"
"My Wishlist (%s items)","Mijn wenslijst (%s items)"
"or","of"
"Please wait...","Moment..."
"sample","voorbeeld"
"Show confirmation dialog","Laat vevestigingsscherm zien"
"Show progress animation","Laat annimatie zien"
"This product(s) is currently out of stock","Dit product is momenteel niet voorradig"
"View cart &amp; checkout","Naar kassa en afrekenen"
"Wrong Qty","Fout aantal"
" added to cart"," toegevoegd"
